Distance [mm] - Plot 0,Amplitude [mV] - Plot 0
0,0
0,0
0,0
0,0
0,0
0,217
0.1,220
0.2,197
0.3,204
0.4,199
0.5,178
0.6,182
0.7,187
0.8,170
0.9,164
1,165
1.1,165
1.2,162
1.3,153
1.4,169
1.5,152
1.6,135
1.7,140
1.8,148
1.9,138
2,127
2.1,138
2.2,132
2.3,124
2.4,128
2.5,135
2.6,133
2.7,128
2.8,134
2.9,137
3,130
3.1,126
3.2,142
3.3,135
3.4,133
3.5,139
3.6,150
3.7,141
3.8,141
3.9,155
4,162
4.1,152
4.2,163
4.3,169
4.4,169
4.5,179
4.6,181
4.7,189
4.8,185
4.9,188
5,205
5.1,210
5.2,221
5.3,232
5.4,247
5.5,238
5.6,253
5.7,270
5.8,272
5.9,269
6,273
6.1,285
6.2,275
6.3,277
6.4,305
6.5,306
6.6,310
6.7,320
6.8,341
6.9,329
7,339
7.1,341
7.2,355
7.3,340
7.4,355
7.5,362
7.6,366
7.7,362
7.8,373
7.9,378
8,379
8.1,378
8.2,385
8.3,388
8.4,385
8.5,400
8.6,404
8.7,396
8.8,397
8.9,409
9,414
9.1,410
9.2,414
9.3,420
9.4,414
9.5,406
9.6,420
9.7,425
9.8,416
9.9,421
10,425
10.1,422
10.2,425
10.3,421
10.4,428
10.5,423
10.6,419
10.7,427
10.8,424
10.9,415
11,420
11.1,427
11.2,423
11.3,413
11.4,423
11.5,428
11.6,418
11.7,419
11.8,419
11.9,422
12,412
12.1,399
12.2,406
12.3,423
12.4,392
12.5,403
12.6,402
12.7,389
12.8,382
12.9,389
13,388
13.1,372
13.2,372
13.3,381
13.4,370
13.5,362
13.6,369
13.7,368
13.8,345
13.9,355
14,337
14.1,339
14.2,330
14.3,332
14.4,337
14.5,314
14.6,305
14.7,318
14.8,306
14.9,285
15,293
15.1,297
15.2,290
15.3,274
15.4,276
15.5,272
15.6,255
15.7,249
15.8,255
15.9,242
16,226
16.1,233
16.2,233
16.3,223
16.4,216
16.5,229
16.6,219
16.7,206
16.8,197
16.9,199
17,184
17.1,172
17.2,180
17.3,179
17.4,166
17.5,156
17.6,172
17.7,161
17.8,151
17.9,148
18,155
18.1,142
18.2,133
18.3,148
18.4,142
18.5,138
18.6,147
18.7,140
18.8,135
18.9,124
19,128
19.1,141
19.2,132
19.3,130
19.4,142
19.5,146
19.6,145
19.7,133
19.8,147
19.9,155
20,155
20.1,160
20.2,164
20.3,153
20.4,153
20.5,170
20.6,171
20.7,171
20.8,174
20.9,197
21,193
21.1,183
21.2,208
21.3,218
21.4,208
21.5,219
21.6,232
21.7,236
21.8,234
21.9,246
22,260
22.1,261
22.2,265
22.3,278
22.4,283
