index,counts
1,0
2,1
3,3
4,2
5,0
6,1
7,0
8,0
9,0
10,0
11,1
12,1
13,1
14,0
15,2
16,2
17,1
18,0
19,0
20,0
21,0
22,1
23,0
24,0
25,0
26,0
27,0
28,1
29,0
30,2
31,0
32,1
33,1
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,2
42,2
43,1
44,0
45,0
46,1
47,0
48,0
49,1
50,0
51,2
52,1
53,0
54,0
55,0
56,1
57,2
58,0
59,3
60,0
61,0
62,0
63,0
64,0
65,0
66,1
67,0
68,1
69,0
70,0
71,0
72,1
73,0
74,0
75,0
76,0
77,1
78,0
79,0
80,1
81,1
82,0
83,1
84,0
85,0
86,0
87,1
88,1
89,1
90,0
