Volt,counts
0,0
6,0
12,0
18,0
24,0
30,0
36,0
42,0
48,0
54,0
60,0
66,0
72,0
78,0
84,0
90,0
96,0
102,0
108,0
114,0
120,0
126,0
132,0
138,0
144,0
150,0
156,0
162,0
168,0
174,0
180,0
186,0
192,0
198,0
204,0
210,0
216,0
222,0
228,0
234,0
240,0
246,0
252,0
258,0
264,0
270,0
276,0
282,0
288,0
294,0
300,0
306,0
312,0
318,0
324,0
330,0
336,1
342,4
348,376
354,1016
360,1322
366,1394
372,1450
378,1539
384,1475
390,1522
396,1521
402,1537
408,1487
414,1578
420,1566
426,1573
432,1574
438,1586
444,1609
450,1622
456,1584
462,1563
468,1614
474,1638
480,1641
486,1587
492,1568
498,1610
504,1622
510,1676
516,1633
522,1600
528,1606
534,1671
540,1613
546,1520
552,1614
558,1650
564,1602
570,1606
576,1588
582,1523
588,1582
594,1546
600,1600
