index,counts
1,36
2,54
3,43
4,22
5,44
6,56
7,50
8,41
9,39
10,40
11,42
12,43
13,48
14,42
15,49
16,45
17,43
18,50
19,37
20,41
21,43
22,60
23,42
24,37
25,40
26,53
27,38
28,48
29,35
30,54
31,36
32,59
33,33
34,49
35,43
36,54
37,37
38,30
39,46
40,47
41,50
42,44
43,49
44,51
45,40
46,55
47,51
48,47
49,48
50,51
51,35
52,42
53,45
54,49
55,50
56,51
57,47
58,39
59,38
60,45
61,31
62,43
63,42
64,47
65,35
66,38
67,44
68,44
69,39
70,41
71,53
72,43
73,32
74,57
75,46
76,52
77,51
78,45
79,42
80,53
81,32
82,42
83,37
84,54
85,48
86,32
87,36
88,55
89,46
90,41
91,42
92,40
93,43
94,44
95,41
96,51
97,46
98,41
99,43
100,43
101,36
102,54
103,55
104,40
105,42
106,37
107,40
108,42
109,42
110,42
111,51
112,52
113,51
114,47
115,35
116,48
117,44
118,45
119,43
120,36
121,39
122,50
123,45
124,29
125,42
126,46
127,44
128,50
129,39
130,47
131,40
132,41
133,49
134,43
135,36
136,46
137,54
138,53
139,47
140,39
141,42
142,54
143,46
144,36
145,46
146,45
147,48
148,40
149,47
150,55
151,45
152,49
153,34
154,43
155,50
156,45
157,46
158,52
159,47
160,51
161,54
162,38
163,48
164,43
165,49
166,38
167,43
168,53
169,44
170,54
171,46
172,31
173,42
174,40
175,45
176,43
177,35
178,54
179,35
180,42
181,43
182,45
183,52
184,46
185,33
186,39
187,45
188,51
189,39
190,48
191,38
192,44
193,54
194,41
195,35
196,52
197,54
198,51
199,26
200,41
201,53
202,42
203,37
204,46
205,43
206,49
207,47
208,41
209,45
210,55
211,41
212,56
213,35
214,59
215,53
216,40
217,37
218,49
219,45
220,44
221,35
222,46
223,56
224,43
225,34
226,42
227,42
228,41
229,47
230,49
231,41
232,53
233,31
234,49
235,42
236,41
237,45
238,50
239,48
240,46
241,40
242,33
243,54
244,43
245,37
246,43
247,49
248,39
249,40
250,48
251,29
252,45
253,41
254,43
255,42
256,40
257,45
258,51
259,44
260,45
261,47
262,44
263,47
264,55
265,39
266,43
267,37
268,33
269,42
270,46
271,51
272,43
273,57
274,41
275,44
276,44
277,46
278,50
279,49
280,31
281,35
282,40
283,32
284,44
285,47
286,34
287,47
288,35
289,41
290,44
291,37
292,49
293,38
294,42
295,37
296,40
297,55
298,40
299,40
300,47
301,39
302,37
303,45
304,38
305,50
306,30
307,38
308,42
309,52
310,54
311,37
312,42
313,40
314,54
315,41
316,48
317,44
318,39
319,52
320,45
321,40
322,37
323,44
324,47
325,45
326,38
327,36
328,42
329,51
330,43
331,36
332,32
333,43
334,49
335,38
336,52
337,36
338,50
339,56
340,59
341,51
342,40
343,34
344,46
345,42
346,41
347,41
348,46
349,34
350,46
351,39
352,52
353,46
354,38
355,26
356,39
357,60
358,42
359,38
360,41
361,41
362,43
363,35
364,48
365,41
366,41
367,45
368,42
369,47
370,41
371,46
372,32
373,46
374,42
375,38
376,40
377,53
378,43
379,42
380,43
381,41
382,37
383,41
384,41
385,37
386,26
387,34
388,51
389,39
390,42
391,45
392,41
393,41
394,40
395,48
396,44
397,30
398,33
399,59
400,45
401,41
402,35
403,45
404,38
405,52
406,49
407,54
408,44
409,39
410,38
411,39
412,37
413,37
414,53
415,50
416,44
417,39
418,47
419,45
420,47
421,45
422,41
423,39
424,48
425,42
426,47
427,40
428,38
429,42
430,40
431,50
432,45
433,37
434,40
435,44
436,45
437,47
438,41
439,52
440,43
441,47
442,47
443,43
444,57
445,36
446,58
447,33
448,44
449,46
450,42
451,45
452,46
453,51
454,42
455,39
456,35
457,51
458,32
459,43
460,53
461,47
462,39
463,38
464,45
465,45
466,62
467,57
468,39
469,43
470,42
471,50
472,38
473,40
474,54
475,47
476,50
477,42
478,39
479,49
480,36
481,38
482,51
483,48
484,45
485,40
486,44
487,43
488,45
489,37
490,50
491,42
492,46
493,46
494,34
495,32
496,43
497,44
498,47
499,43
500,40
501,45
502,44
503,35
504,41
505,48
506,53
507,46
508,56
509,52
510,33
511,43
512,51
513,46
514,46
515,55
516,40
517,37
518,37
519,33
520,36
521,46
522,50
523,43
524,47
525,38
526,57
527,39
528,47
529,46
530,39
531,44
532,45
533,35
534,40
535,47
536,50
537,34
538,29
539,41
540,50
541,38
542,41
543,48
544,45
545,47
546,32
547,37
548,51
549,41
550,37
551,45
552,38
553,34
554,42
555,42
556,35
557,38
558,46
559,58
560,46
561,32
562,48
563,47
564,39
565,44
566,44
567,52
568,44
569,42
570,32
571,47
572,36
573,48
574,41
575,35
576,56
577,45
578,44
579,49
580,44
581,43
582,39
583,50
584,50
585,45
586,41
587,37
588,36
589,35
590,50
591,54
592,48
593,38
594,43
595,45
596,38
597,47
598,48
599,38
600,46
601,44
602,33
603,43
604,46
605,33
606,46
607,40
608,59
609,42
610,46
611,37
612,44
613,49
614,36
615,40
616,40
617,53
618,36
619,42
620,45
621,37
622,44
623,38
624,34
625,46
626,46
627,31
628,47
629,62
630,58
631,44
632,47
633,35
634,50
635,46
636,44
637,40
638,33
639,49
640,39
641,34
642,47
643,38
644,34
645,52
646,46
647,41
648,40
649,51
650,47
651,35
652,50
653,35
654,41
655,44
656,42
657,41
658,40
659,39
660,48
661,30
662,39
663,28
664,56
665,44
666,37
667,37
668,45
669,36
670,50
671,38
672,50
673,36
674,40
675,46
676,42
677,43
678,40
679,48
680,45
681,48
682,41
683,44
684,40
685,37
686,56
687,41
688,45
689,45
690,48
691,48
692,51
693,42
694,47
695,44
696,49
697,56
698,41
699,46
700,33
701,49
702,55
703,54
704,39
705,44
706,49
707,41
708,30
709,52
710,38
711,43
712,47
713,39
714,49
715,42
716,41
717,48
718,50
719,53
720,52
721,42
722,40
723,33
724,58
725,46
726,47
727,41
728,39
729,48
730,46
731,53
732,43
733,52
734,45
735,40
736,39
737,36
738,53
739,41
740,46
741,38
742,36
743,39
744,45
745,44
746,44
747,49
748,50
749,45
750,43
751,39
752,51
753,46
754,47
755,54
756,46
757,41
758,48
759,47
760,45
761,57
762,42
763,46
764,41
765,56
766,50
767,34
768,52
769,31
770,45
771,47
772,33
773,53
774,44
775,35
776,43
777,35
778,42
779,54
780,31
781,42
782,43
783,46
784,56
785,46
786,47
787,31
788,45
789,32
790,49
791,44
792,51
793,42
794,45
795,48
796,35
797,41
798,39
799,44
800,64
801,39
802,42
803,45
804,40
805,42
806,36
807,46
808,41
809,39
810,42
811,57
812,42
813,53
814,42
815,46
816,39
817,38
818,39
819,48
820,41
821,48
822,47
823,51
824,33
825,46
826,36
827,40
828,36
829,50
830,42
831,48
832,48
833,52
834,46
835,46
836,40
837,47
838,43
839,52
840,45
841,55
842,44
843,37
844,46
845,36
846,43
847,41
848,51
849,40
850,43
851,40
852,51
853,47
854,47
855,49
856,52
857,57
858,39
859,42
860,37
861,55
862,37
863,44
864,49
865,41
866,40
867,35
868,48
869,42
870,44
871,37
872,48
873,42
874,41
875,47
876,52
877,53
878,54
879,38
880,35
881,42
882,48
883,50
884,47
885,44
886,49
887,48
888,36
889,55
890,52
891,45
892,37
893,36
894,50
895,44
896,49
897,46
898,39
899,39
900,53
901,36
902,46
903,32
904,47
905,33
906,49
907,58
908,41
909,42
910,39
911,43
912,39
913,36
914,49
915,58
916,42
917,48
918,56
919,47
920,33
921,46
922,36
923,52
924,48
925,36
926,34
927,31
928,42
929,41
930,51
931,41
932,37
933,41
934,39
935,49
936,35
937,34
938,45
939,36
940,48
941,43
