index,counts
1,2
2,1
3,1
4,1
5,3
6,3
7,4
8,4
9,2
10,2
11,2
12,1
13,2
14,1
15,3
16,2
17,3
18,0
19,1
20,2
21,1
22,1
23,1
24,0
25,5
26,3
27,2
28,0
29,2
30,2
31,2
32,2
33,2
34,5
35,3
36,0
37,4
38,6
39,2
40,3
41,1
42,1
43,5
44,0
45,5
46,2
47,0
48,2
49,1
50,5
51,5
52,1
53,3
54,1
55,1
56,1
57,4
58,1
59,1
60,1
61,1
62,3
63,1
64,1
65,3
66,3
67,1
68,4
69,5
70,3
71,1
72,3
73,1
74,2
75,4
76,2
77,0
78,2
79,2
80,3
81,0
82,5
83,0
84,1
85,2
86,0
87,2
88,2
89,4
90,4
91,1
92,2
93,5
94,2
95,3
96,3
97,0
98,2
99,2
100,1
101,0
102,2
103,3
104,1
105,4
106,0
107,2
108,1
109,3
110,2
111,1
112,3
113,1
114,2
115,2
116,3
117,2
118,2
119,2
120,1
121,2
122,6
123,3
124,2
125,0
126,1
127,1
128,3
129,1
130,1
131,4
132,1
133,4
134,4
135,2
136,0
137,5
138,0
139,0
140,4
141,3
142,3
143,2
144,1
145,1
146,3
147,4
148,2
149,4
150,4
151,3
152,2
153,1
154,2
155,2
156,2
157,1
158,2
159,5
160,1
161,4
162,3
163,1
164,1
165,2
166,1
167,3
168,4
169,2
170,4
171,1
172,3
173,2
174,2
175,1
176,2
177,1
178,4
179,1
180,1
181,5
182,2
183,4
184,4
185,0
186,1
187,2
188,4
189,3
190,4
191,2
192,5
193,4
194,2
195,1
196,1
197,1
198,1
199,1
200,2
201,1
202,3
203,1
204,2
205,2
206,3
207,2
208,1
209,1
210,4
211,3
212,6
213,0
214,1
215,0
216,2
217,3
218,1
219,3
220,0
221,1
222,4
223,1
224,6
225,1
226,2
227,3
228,1
229,2
230,2
231,4
232,5
233,3
234,2
235,0
236,1
237,0
238,5
239,4
240,0
241,2
242,1
243,4
244,3
245,2
246,3
247,3
248,3
249,1
250,2
251,3
252,3
253,5
254,1
255,5
256,1
257,3
258,1
259,6
260,3
261,3
262,3
263,1
264,1
265,3
266,5
267,3
268,1
269,1
270,4
271,3
272,1
273,3
274,6
275,1
276,2
277,2
278,0
279,1
280,4
281,2
282,3
283,3
284,1
285,3
286,1
287,1
288,1
289,1
290,2
291,0
292,1
293,1
294,1
295,1
296,1
297,1
298,0
299,2
300,3
301,3
302,3
303,5
304,2
305,2
306,2
307,1
308,4
309,1
310,3
311,3
312,1
313,0
314,3
315,5
316,3
317,0
318,4
319,1
320,3
321,5
322,2
323,3
324,3
325,1
326,3
327,0
328,1
329,3
330,1
331,5
332,1
333,5
334,1
335,5
336,0
337,3
338,2
339,1
340,4
341,3
342,1
343,2
344,2
345,1
346,6
347,1
348,1
349,2
350,1
351,1
352,0
353,2
354,0
355,2
356,1
357,3
358,3
359,5
360,1
361,0
362,1
363,3
364,2
365,5
366,2
367,4
368,0
369,4
370,3
371,0
372,3
373,2
374,1
375,3
376,3
377,1
378,1
379,4
380,1
381,2
382,3
383,1
384,1
385,1
386,2
387,2
388,0
389,2
390,1
391,4
392,4
393,0
394,2
395,3
396,2
397,1
398,2
399,1
400,4
401,1
402,2
403,1
404,3
405,2
406,1
407,2
408,1
409,3
410,4
411,3
412,5
413,3
414,4
415,2
416,0
417,1
418,2
419,0
420,1
421,2
422,5
423,0
424,3
425,3
426,0
427,4
428,0
429,4
430,0
431,2
432,2
433,1
434,2
435,5
436,2
437,2
438,1
439,1
440,3
441,3
442,2
443,3
444,2
445,3
446,3
447,2
448,2
449,4
450,0
451,2
452,3
453,1
454,3
455,2
456,4
457,2
458,2
459,2
460,0
461,2
462,3
463,1
464,2
465,1
466,3
467,1
468,1
469,1
470,1
471,1
472,2
473,2
474,5
475,1
476,0
477,2
478,2
479,5
480,4
481,3
482,2
483,0
484,2
485,4
486,2
487,3
488,1
489,5
490,2
491,4
492,2
493,3
494,3
495,3
496,2
497,0
498,3
499,4
500,2
501,2
502,2
503,0
504,4
505,2
506,3
507,2
508,2
509,2
510,0
511,0
512,2
513,1
514,3
515,2
516,1
517,2
518,0
519,3
520,1
521,1
522,1
523,2
524,6
525,0
526,2
527,1
528,2
529,2
530,0
531,2
532,5
533,2
534,1
535,2
536,1
537,2
538,1
539,2
540,0
541,1
542,1
543,4
544,3
545,1
546,1
547,2
548,1
549,2
550,0
551,1
552,0
553,1
554,3
555,2
556,1
557,3
558,2
559,2
560,0
561,3
562,6
563,5
564,2
565,1
566,1
567,1
568,1
569,3
570,3
571,2
572,2
573,0
574,2
575,1
576,3
577,1
578,5
579,2
580,3
581,1
582,2
583,0
584,2
585,8
586,1
587,0
588,1
589,3
590,1
591,1
592,2
593,1
594,1
595,3
596,0
597,3
598,3
599,1
600,1
601,1
602,1
603,0
604,1
605,1
606,2
607,0
608,4
609,1
610,2
611,1
612,1
613,2
614,2
615,2
616,1
617,4
618,1
619,0
620,4
621,6
622,3
623,4
624,5
625,2
626,2
627,2
628,2
629,4
630,4
631,4
632,2
633,3
634,1
635,1
636,8
637,1
638,2
639,3
640,0
641,4
642,5
643,1
644,0
645,1
646,4
647,1
648,3
649,0
650,2
651,3
652,1
653,1
654,4
655,3
656,2
657,5
658,0
659,1
660,2
661,4
662,3
663,3
664,4
665,0
666,2
667,1
668,2
669,4
670,1
671,0
672,1
673,2
674,1
675,1
676,3
677,2
678,0
679,2
680,2
681,1
682,3
683,2
684,1
685,4
686,5
687,2
688,1
689,4
690,4
691,1
692,3
693,2
694,1
695,5
696,1
697,2
698,1
699,1
700,2
701,4
702,1
703,2
704,4
705,2
706,3
707,2
708,0
709,5
710,3
711,3
712,3
713,4
714,0
715,3
716,3
717,3
718,3
719,4
720,0
721,1
722,1
723,0
724,1
725,5
726,1
727,1
728,2
729,2
730,6
731,1
732,2
733,3
734,1
735,2
736,2
737,0
738,6
739,4
740,1
741,3
742,3
743,2
744,4
745,4
746,1
747,3
748,1
749,3
750,1
751,1
752,1
753,5
754,0
755,4
756,3
757,3
758,0
759,2
760,4
761,1
762,6
763,0
764,2
765,3
766,3
767,0
768,3
769,5
770,2
771,1
772,2
773,3
774,3
775,4
776,0
777,3
778,5
779,1
780,3
781,1
782,1
783,2
784,1
785,2
786,1
787,2
788,2
789,3
790,0
791,2
792,2
793,3
794,2
795,4
796,1
797,1
798,2
799,2
800,1
801,3
802,1
803,2
804,1
805,5
806,3
807,1
808,2
809,1
810,4
811,2
812,1
813,4
814,4
815,1
816,3
817,1
818,0
819,1
820,2
821,0
822,1
823,1
824,4
825,1
826,1
827,2
828,2
829,4
830,0
831,1
832,1
833,3
834,3
835,0
836,2
837,0
838,4
839,1
840,1
841,2
842,2
843,2
844,2
845,3
846,2
847,2
848,2
849,0
850,1
851,0
852,0
853,3
854,1
855,4
856,2
857,2
858,1
859,0
860,1
861,2
862,3
863,3
864,2
865,3
866,2
867,1
868,0
869,1
870,1
871,1
872,2
873,2
874,0
875,3
876,4
877,1
878,1
879,3
880,2
881,3
882,4
883,1
884,0
885,2
886,2
887,3
888,0
889,0
890,2
891,3
892,5
893,3
894,3
895,3
896,3
897,0
898,3
899,1
900,0
901,4
902,3
903,3
904,6
905,3
906,2
907,0
908,3
909,2
910,3
911,1
912,4
913,3
914,1
915,1
916,1
917,3
918,1
919,3
920,2
921,2
922,2
923,2
924,2
925,4
926,4
927,4
928,3
929,1
930,2
931,2
932,1
933,4
934,2
935,3
936,7
937,0
938,3
939,0
940,3
941,2
942,1
943,1
944,0
945,3
946,2
947,4
948,1
949,0
950,2
951,4
952,5
953,0
954,1
955,3
956,5
957,2
958,2
959,1
960,2
961,1
962,1
963,1
964,5
965,3
966,0
967,1
968,3
969,3
970,2
971,0
972,2
973,2
974,4
975,3
976,2
977,6
978,2
979,4
980,6
981,1
982,4
983,4
984,4
985,2
986,1
987,0
988,3
989,1
990,0
991,2
992,1
993,3
994,1
995,3
996,2
997,1
998,1
999,3
1000,7
1001,0
1002,1
1003,4
1004,1
1005,0
1006,0
1007,3
1008,1
1009,1
1010,3
1011,3
1012,2
1013,1
1014,2
1015,4
1016,3
1017,1
1018,1
1019,1
1020,0
1021,2
1022,2
1023,3
1024,2
1025,0
1026,3
1027,4
1028,1
1029,2
1030,0
1031,4
1032,1
1033,6
1034,1
1035,1
1036,2
1037,3
1038,4
1039,0
1040,1
1041,2
1042,1
1043,3
1044,1
1045,0
1046,1
1047,1
1048,5
1049,3
1050,3
1051,5
1052,1
1053,0
1054,4
1055,1
1056,1
1057,1
1058,0
1059,2
1060,3
1061,2
1062,1
1063,1
1064,2
1065,1
1066,2
1067,3
1068,1
1069,2
1070,2
1071,4
1072,0
1073,4
1074,0
1075,1
1076,4
1077,1
1078,4
1079,3
1080,2
1081,0
1082,0
