#timebase=40000000(ps)
,#voltbase=5000(mv/100)
#size=4064
2.00E-07,0.010
4.00E-07,0.010
6.00E-07,0.011
8.00E-07,0.010
1.00E-06,0.010
1.20E-06,0.010
1.40E-06,0.008
1.60E-06,0.008
1.80E-06,0.008
2.00E-06,0.008
2.20E-06,0.010
2.40E-06,0.010
2.60E-06,0.009
2.80E-06,0.010
3.00E-06,0.009
3.20E-06,0.010
3.40E-06,0.010
3.60E-06,0.010
3.80E-06,0.011
4.00E-06,0.010
4.20E-06,0.010
4.40E-06,0.011
4.60E-06,0.011
4.80E-06,0.011
5.00E-06,0.011
5.20E-06,0.011
5.40E-06,0.011
5.60E-06,0.011
5.80E-06,0.011
6.00E-06,0.012
6.20E-06,0.012
6.40E-06,0.012
6.60E-06,0.011
6.80E-06,0.011
7.00E-06,0.010
7.20E-06,0.011
7.40E-06,0.011
7.60E-06,0.010
7.80E-06,0.010
8.00E-06,0.011
8.20E-06,0.010
8.40E-06,0.010
8.60E-06,0.011
8.80E-06,0.010
9.00E-06,0.009
9.20E-06,0.009
9.40E-06,0.010
9.60E-06,0.010
9.80E-06,0.011
1.00E-05,0.011
1.02E-05,0.011
1.04E-05,0.011
1.06E-05,0.011
1.08E-05,0.011
1.10E-05,0.011
1.12E-05,0.011
1.14E-05,0.011
1.16E-05,0.011
1.18E-05,0.012
1.20E-05,0.012
1.22E-05,0.011
1.24E-05,0.011
1.26E-05,0.010
1.28E-05,0.010
1.30E-05,0.010
1.32E-05,0.011
1.34E-05,0.011
1.36E-05,0.010
1.38E-05,0.011
1.40E-05,0.010
1.42E-05,0.010
1.44E-05,0.010
1.46E-05,0.009
1.48E-05,0.009
1.50E-05,0.008
1.52E-05,0.008
1.54E-05,0.008
1.56E-05,0.008
1.58E-05,0.009
1.60E-05,0.011
1.62E-05,0.011
1.64E-05,0.011
1.66E-05,0.009
1.68E-05,0.009
1.70E-05,0.009
1.72E-05,0.010
1.74E-05,0.010
1.76E-05,0.010
1.78E-05,0.010
1.80E-05,0.009
1.82E-05,0.009
1.84E-05,0.009
1.86E-05,0.010
1.88E-05,0.010
1.90E-05,0.010
1.92E-05,0.010
1.94E-05,0.010
1.96E-05,0.010
1.98E-05,0.011
2.00E-05,0.010
2.02E-05,0.011
2.04E-05,0.011
2.06E-05,0.010
2.08E-05,0.010
2.10E-05,0.010
2.12E-05,0.010
2.14E-05,0.010
2.16E-05,0.010
2.18E-05,0.010
2.20E-05,0.010
2.22E-05,0.010
2.24E-05,0.011
2.26E-05,0.010
2.28E-05,0.010
2.30E-05,0.010
2.32E-05,0.011
2.34E-05,0.011
2.36E-05,0.013
2.38E-05,0.013
2.40E-05,0.013
2.42E-05,0.012
2.44E-05,0.012
2.46E-05,0.011
2.48E-05,0.012
2.50E-05,0.012
2.52E-05,0.011
2.54E-05,0.011
2.56E-05,0.012
2.58E-05,0.011
2.60E-05,0.012
2.62E-05,0.011
2.64E-05,0.012
2.66E-05,0.011
2.68E-05,0.012
2.70E-05,0.012
2.72E-05,0.012
2.74E-05,0.011
2.76E-05,0.012
2.78E-05,0.011
2.80E-05,0.011
2.82E-05,0.011
2.84E-05,0.011
2.86E-05,0.012
2.88E-05,0.011
2.90E-05,0.012
2.92E-05,0.011
2.94E-05,0.011
2.96E-05,0.012
2.98E-05,0.012
3.00E-05,0.013
3.02E-05,0.012
3.04E-05,0.012
3.06E-05,0.012
3.08E-05,0.011
3.10E-05,0.011
3.12E-05,0.013
3.14E-05,0.014
3.16E-05,0.013
3.18E-05,0.013
3.20E-05,0.012
3.22E-05,0.011
3.24E-05,0.011
3.26E-05,0.011
3.28E-05,0.011
3.30E-05,0.011
3.32E-05,0.010
3.34E-05,0.010
3.36E-05,0.011
3.38E-05,0.010
3.40E-05,0.010
3.42E-05,0.010
3.44E-05,0.010
3.46E-05,0.009
3.48E-05,0.010
3.50E-05,0.010
3.52E-05,0.010
3.54E-05,0.010
3.56E-05,0.010
3.58E-05,0.010
3.60E-05,0.010
3.62E-05,0.008
3.64E-05,0.010
3.66E-05,0.009
3.68E-05,0.010
3.70E-05,0.010
3.72E-05,0.010
3.74E-05,0.010
3.76E-05,0.011
3.78E-05,0.011
3.80E-05,0.010
3.82E-05,0.010
3.84E-05,0.010
3.86E-05,0.010
3.88E-05,0.010
3.90E-05,0.011
3.92E-05,0.010
3.94E-05,0.011
3.96E-05,0.011
3.98E-05,0.011
4.00E-05,0.011
4.02E-05,0.010
4.04E-05,0.011
4.06E-05,0.009
4.08E-05,0.010
4.10E-05,0.010
4.12E-05,0.010
4.14E-05,0.011
4.16E-05,0.012
4.18E-05,0.011
4.20E-05,0.010
4.22E-05,0.010
4.24E-05,0.011
4.26E-05,0.011
4.28E-05,0.011
4.30E-05,0.011
4.32E-05,0.011
4.34E-05,0.011
4.36E-05,0.012
4.38E-05,0.012
4.40E-05,0.011
4.42E-05,0.012
4.44E-05,0.012
4.46E-05,0.011
4.48E-05,0.011
4.50E-05,0.011
4.52E-05,0.012
4.54E-05,0.012
4.56E-05,0.012
4.58E-05,0.010
4.60E-05,0.010
4.62E-05,0.010
4.64E-05,0.010
4.66E-05,0.011
4.68E-05,0.012
4.70E-05,0.012
4.72E-05,0.011
4.74E-05,0.012
4.76E-05,0.012
4.78E-05,0.012
4.80E-05,0.012
4.82E-05,0.012
4.84E-05,0.011
4.86E-05,0.012
4.88E-05,0.012
4.90E-05,0.012
4.92E-05,0.012
4.94E-05,0.011
4.96E-05,0.012
4.98E-05,0.012
5.00E-05,0.011
5.02E-05,0.012
5.04E-05,0.012
5.06E-05,0.011
5.08E-05,0.012
5.10E-05,0.012
5.12E-05,0.012
5.14E-05,0.012
5.16E-05,0.012
5.18E-05,0.012
5.20E-05,0.012
5.22E-05,0.011
5.24E-05,0.010
5.26E-05,0.011
5.28E-05,0.010
5.30E-05,0.010
5.32E-05,0.011
5.34E-05,0.011
5.36E-05,0.010
5.38E-05,0.011
5.40E-05,0.010
5.42E-05,0.010
5.44E-05,0.010
5.46E-05,0.010
5.48E-05,0.010
5.50E-05,0.010
5.52E-05,0.010
5.54E-05,0.010
5.56E-05,0.011
5.58E-05,0.011
5.60E-05,0.010
5.62E-05,0.010
5.64E-05,0.010
5.66E-05,0.010
5.68E-05,0.010
5.70E-05,0.010
5.72E-05,0.010
5.74E-05,0.011
5.76E-05,0.010
5.78E-05,0.010
5.80E-05,0.010
5.82E-05,0.011
5.84E-05,0.010
5.86E-05,0.011
5.88E-05,0.011
5.90E-05,0.010
5.92E-05,0.011
5.94E-05,0.012
5.96E-05,0.012
5.98E-05,0.011
6.00E-05,0.011
6.02E-05,0.011
6.04E-05,0.010
6.06E-05,0.013
6.08E-05,0.012
6.10E-05,0.012
6.12E-05,0.013
6.14E-05,0.012
6.16E-05,0.011
6.18E-05,0.010
6.20E-05,0.011
6.22E-05,0.011
6.24E-05,0.011
6.26E-05,0.011
6.28E-05,0.011
6.30E-05,0.011
6.32E-05,0.011
6.34E-05,0.012
6.36E-05,0.012
6.38E-05,0.013
6.40E-05,0.013
6.42E-05,0.011
6.44E-05,0.012
6.46E-05,0.011
6.48E-05,0.012
6.50E-05,0.012
6.52E-05,0.013
6.54E-05,0.011
6.56E-05,0.011
6.58E-05,0.012
6.60E-05,0.011
6.62E-05,0.011
6.64E-05,0.012
6.66E-05,0.010
6.68E-05,0.011
6.70E-05,0.015
6.72E-05,0.012
6.74E-05,0.011
6.76E-05,0.012
6.78E-05,0.010
6.80E-05,0.009
6.82E-05,0.011
6.84E-05,0.011
6.86E-05,0.010
6.88E-05,0.012
6.90E-05,0.012
6.92E-05,0.012
6.94E-05,0.012
6.96E-05,0.012
6.98E-05,0.011
7.00E-05,0.012
7.02E-05,0.012
7.04E-05,0.012
7.06E-05,0.012
7.08E-05,0.012
7.10E-05,0.012
7.12E-05,0.012
7.14E-05,0.012
7.16E-05,0.011
7.18E-05,0.011
7.20E-05,0.011
7.22E-05,0.011
7.24E-05,0.011
7.26E-05,0.010
7.28E-05,0.010
7.30E-05,0.011
7.32E-05,0.011
7.34E-05,0.010
7.36E-05,0.010
7.38E-05,0.011
7.40E-05,0.010
7.42E-05,0.010
7.44E-05,0.009
7.46E-05,0.010
7.48E-05,0.010
7.50E-05,0.010
7.52E-05,0.011
7.54E-05,0.010
7.56E-05,0.010
7.58E-05,0.010
7.60E-05,0.010
7.62E-05,0.010
7.64E-05,0.010
7.66E-05,0.010
7.68E-05,0.010
7.70E-05,0.010
7.72E-05,0.011
7.74E-05,0.011
7.76E-05,0.011
7.78E-05,0.011
7.80E-05,0.011
7.82E-05,0.010
7.84E-05,0.011
7.86E-05,0.010
7.88E-05,0.010
7.90E-05,0.011
7.92E-05,0.011
7.94E-05,0.011
7.96E-05,0.011
7.98E-05,0.011
8.00E-05,0.011
8.02E-05,0.011
8.04E-05,0.011
8.06E-05,0.010
8.08E-05,0.011
8.10E-05,0.010
8.12E-05,0.011
8.14E-05,0.012
8.16E-05,0.012
8.18E-05,0.012
8.20E-05,0.012
8.22E-05,0.012
8.24E-05,0.010
8.26E-05,0.012
8.28E-05,0.015
8.30E-05,0.013
8.32E-05,0.013
8.34E-05,0.013
8.36E-05,0.012
8.38E-05,0.012
8.40E-05,0.012
8.42E-05,0.012
8.44E-05,0.011
8.46E-05,0.012
8.48E-05,0.012
8.50E-05,0.011
8.52E-05,0.012
8.54E-05,0.012
8.56E-05,0.012
8.58E-05,0.012
8.60E-05,0.011
8.62E-05,0.012
8.64E-05,0.011
8.66E-05,0.012
8.68E-05,0.011
8.70E-05,0.014
8.72E-05,0.011
8.74E-05,0.011
8.76E-05,0.011
8.78E-05,0.012
8.80E-05,0.011
8.82E-05,0.012
8.84E-05,0.011
8.86E-05,0.011
8.88E-05,0.011
8.90E-05,0.011
8.92E-05,0.012
8.94E-05,0.012
8.96E-05,0.012
